name,year,selling_price,fuel,transmission,type
Maruti Wagon R LXI,2020,240000,Petrol,Manual,Hatchback
Maruti Alto K10 LXI CNG,2020,282000,Petrol,Manual,Sedan
Mahindra XUV500 W11 Option AWD,2020,1400000,Diesel,Manual,SUV
Hyundai Grand i10 Nios Magna CRDi,2020,700000,Diesel,Manual,Hatchback
Audi A5 Sportback,2020,4700000,Diesel,Automatic,Sedan
Hyundai Creta 1.4 EX Diesel,2020,1050000,Diesel,Manual,SUV
Maruti Baleno Zeta,2020,700000,Petrol,Manual,Hatchback
Maruti Alto 800 VXI,2020,350000,Petrol,Manual,Sedan
Maruti Swift VXI,2020,619000,Petrol,Manual,SUV
Volkswagen Polo 1.0 TSI Highline Plus,2020,802000,Petrol,Manual,Hatchback
Hyundai Grand i10 Nios Sportz,2020,600000,Petrol,Manual,Sedan
Hyundai Grand i10 Nios AMT Magna,2020,640000,Petrol,Automatic,SUV
Mahindra XUV500 W11 Option AWD,2020,1400000,Diesel,Manual,Hatchback
Renault KWID RXL,2020,300000,Petrol,Manual,Sedan
Maruti Alto K10 LX,2020,250000,Petrol,Manual,SUV
Hyundai Elite i20 Magna Plus BSIV,2020,545000,Petrol,Manual,Hatchback
Ford Freestyle Titanium Diesel,2020,784000,Diesel,Manual,Sedan
Ford Figo Titanium,2020,635000,Petrol,Manual,SUV
Ford Ecosport 1.5 Diesel Titanium,2020,1000000,Diesel,Manual,Hatchback
Ford Aspire Titanium BSIV,2020,828999,Petrol,Manual,Sedan
Ford EcoSport 1.5 Ti VCT MT Titanium BE BSIV,2020,1119000,Petrol,Manual,SUV
Ford Figo Titanium,2020,746000,Petrol,Manual,Hatchback
Ford Ecosport 1.5 Petrol Trend,2020,1030000,Petrol,Manual,Sedan
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2020,1334000,Diesel,Manual,SUV
Ford Freestyle Titanium,2020,811999,Petrol,Manual,Hatchback
Ford Ecosport Thunder Edition Diesel,2020,1331000,Diesel,Manual,Sedan
Ford Freestyle Titanium Plus,2020,852000,Petrol,Manual,SUV
Hyundai Venue SX Opt Diesel,2020,1000000,Diesel,Manual,Hatchback
Tata Altroz XZ,2020,830000,Petrol,Manual,Sedan
Honda BR-V i-VTEC VX MT,2020,1250000,Petrol,Manual,SUV
Maruti Ertiga 1.5 VDI,2020,550000,Diesel,Manual,Hatchback
Ford Ecosport Sports Petrol,2020,1100000,Petrol,Manual,Sedan
Hyundai Creta 1.4 EX Diesel,2020,1050000,Diesel,Manual,SUV
Renault KWID Climber 1.0 MT Opt BSIV,2020,541000,Petrol,Manual,Hatchback
Tata Altroz XE,2020,500000,Petrol,Manual,Sedan
Hyundai Santro Sportz BSIV,2020,520000,Petrol,Manual,SUV
Maruti Swift ZXI Plus,2020,550000,Petrol,Manual,Hatchback
Mahindra Scorpio S5 BSIV,2020,1200000,Diesel,Manual,Sedan
Maruti Alto 800 LXI,2020,347000,Petrol,Manual,SUV
Maruti Alto 800 LXI,2020,310000,Petrol,Manual,Hatchback
Maruti Eeco CNG 5 Seater AC BSIV,2020,495000,CNG,Manual,Sedan
Maruti Swift VXI,2020,619000,Petrol,Manual,SUV
Maruti Alto 800 VXI,2020,210000,Petrol,Manual,Hatchback
Hyundai Venue SX Opt Turbo BSIV,2020,1050000,Petrol,Manual,Sedan
Hyundai Grand i10 1.2 Kappa Magna BSIV,2020,545000,Petrol,Manual,SUV
Ford Figo Aspire 1.5 TDCi Titanium,2020,530000,Diesel,Manual,Hatchback
Tata Harrier XE,2020,426000,Diesel,Manual,Sedan
Honda Amaze S Petrol BSIV,2020,614000,Petrol,Manual,SUV
Hyundai Venue SX Opt Diesel,2019,1195000,Diesel,Manual,Hatchback
Jeep Compass 1.4 Sport Plus BSIV,2019,1400000,Petrol,Manual,Sedan
Hyundai Grand i10 1.2 Kappa Asta,2019,500000,Petrol,Manual,SUV
Hyundai Elite i20 Diesel Era,2019,650000,Diesel,Manual,Hatchback
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,750000,Petrol,Manual,Sedan
Maruti Swift Dzire ZXI Plus,2019,810000,Petrol,Manual,SUV
Mahindra Bolero Power Plus SLX,2019,800000,Diesel,Manual,Hatchback
Mahindra XUV300 W8 Option,2019,1150000,Petrol,Manual,Sedan
Hyundai Elite i20 Asta Option BSIV,2019,800000,Petrol,Manual,SUV
Mahindra Bolero Power Plus SLX,2019,860000,Diesel,Manual,Hatchback
Maruti Baleno Alpha,2019,700000,Petrol,Manual,Sedan
Tata Tiago 1.2 Revotron XZ,2019,425000,Petrol,Manual,SUV
Maruti Baleno Alpha 1.3,2019,800000,Diesel,Manual,Hatchback
Hyundai Grand i10 1.2 CRDi Asta,2019,755000,Diesel,Manual,Sedan
Hyundai Grand i10 1.2 Kappa Asta,2019,600000,Petrol,Manual,SUV
Tata Tiago 1.2 Revotron XZA,2019,350000,Petrol,Automatic,Hatchback
Maruti Swift VXI BSIV,2019,600000,Petrol,Manual,Sedan
Tata Tiago NRG Petrol,2019,575000,Petrol,Manual,SUV
Hyundai Santro Era,2019,350000,Petrol,Manual,Hatchback
Tata Tiago NRG Petrol,2019,550000,Petrol,Manual,Sedan
Hyundai Santro Magna BSIV,2019,500000,Petrol,Manual,SUV
Mahindra XUV500 W11 Option AT AWD,2019,1850000,Diesel,Automatic,Hatchback
Ford Figo 1.2P Titanium MT,2019,700000,Petrol,Manual,Sedan
Honda WR-V i-DTEC V,2019,900000,Diesel,Manual,SUV
Maruti Baleno Alpha 1.2,2019,556000,Petrol,Manual,Hatchback
BMW X5 xDrive 30d xLine,2019,4950000,Diesel,Automatic,Sedan
BMW X5 xDrive 30d xLine,2019,4950000,Diesel,Automatic,SUV
BMW X5 xDrive 30d xLine,2019,4950000,Diesel,Automatic,Hatchback
BMW X5 xDrive 30d xLine,2019,4950000,Diesel,Automatic,Sedan
Tata Nexon 1.5 Revotorq XZ,2019,800000,Diesel,Manual,SUV
Maruti Eeco 5 Seater Standard BSIV,2019,380000,Petrol,Manual,Hatchback
Maruti Ciaz Zeta BSIV,2019,925000,Petrol,Manual,Sedan
Mahindra Thar CRDe ABS,2019,900000,Diesel,Manual,SUV
Maruti Swift VXI,2019,500000,Petrol,Manual,Hatchback
Hyundai Verna CRDi 1.6 SX Option,2019,1200000,Diesel,Manual,Sedan
Maruti Swift LXI,2019,470000,Petrol,Manual,SUV
Maruti Alto 800 LXI,2019,300000,Petrol,Manual,Hatchback
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,550000,Petrol,Manual,Sedan
BMW X5 xDrive 30d xLine,2019,4950000,Diesel,Automatic,SUV
BMW X5 xDrive 30d xLine,2019,4950000,Diesel,Automatic,Hatchback
Maruti Alto K10 VXI,2019,350000,Petrol,Manual,Sedan
Maruti Alto K10 VXI Airbag,2019,350000,Petrol,Manual,SUV
Mahindra XUV300 W8 Option Diesel BSIV,2019,1000000,Diesel,Manual,Hatchback
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,550000,Petrol,Manual,Sedan
BMW X5 xDrive 30d xLine,2019,4950000,Diesel,Automatic,SUV
Maruti Celerio LXI MT BSIV,2019,340000,Petrol,Manual,Hatchback
Maruti Ertiga ZDI Plus,2019,1100000,Diesel,Manual,Sedan
Mahindra Alturas G4 4X2 AT BSIV,2019,2700000,Diesel,Automatic,SUV
Maruti Ertiga VDI,2019,925000,Diesel,Manual,Hatchback
Hyundai Xcent 1.2 VTVT S,2019,660000,Petrol,Manual,Sedan
Maruti Swift Dzire ZDI,2019,475000,Diesel,Manual,SUV
Honda Amaze S CVT Petrol,2019,610000,Petrol,Automatic,Hatchback
